A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
德方集团,1,0,1,0,0,0,0,0,0,0,2
巨蚁环球,0,0,0,0,0,1,0,1,1,0,3
龙腾财富,1,0,0,0,1,0,3,0,1,0,6
利泰丰,2,0,2,0,6,0,0,0,0,0,10
太富,1,0,0,0,0,0,0,0,0,0,1
裕承资产,0,0,0,1,0,0,1,1,0,0,3
动力势能,0,0,0,0,0,1,0,0,0,0,1
钜诚保险,0,0,0,1,0,0,0,0,0,0,1
共享经纪,0,0,0,1,1,0,0,1,0,0,3
众安国际,1,0,0,0,0,0,0,0,0,0,1
合计,68,62,122,94,124,157,190,131,38,0,986

M-APE. 月度签单业绩—同行 (APE),,,,,,,,,,,
📌 sign_ym；排除排期及流失；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天誉国际(MGA),0,936000,1701304,5657524,5996110,11613585,37213828,15417302,3615600,0,82151253
天誉国际,0,994200,8903030,11838650,12489500,12272099,10101834,11159700,694950,0,68453963
唯思,2490004,5565000,4541600,4282882,3636823,8606640,6039595,2849872,195000,0,38207416
紫荆保险,3415800,5513400,7133940,4548000,6224520,2330826,2379000,1482000,156000,0,33183486
万森保险,856555,2349000,7526040,3898800,3082069,4485000,2355000,1740000,335595,0,26628059
企鹅保险,2086500,4268100,3629940,1318500,798000,3992400,1248556,1758600,0,0,19100596
堡盛国际,4676500,1505400,5181600,234000,2052000,4356300,1065000,0,0,0,19070800
中天家办,0,411609,1311000,1560000,1563158,3107490,3686268,3237000,515400,0,15391925
万城保险,0,0,1170000,2469600,4681923,606052,936000,2350543,585000,0,12799118
臻略财富,624000,1135560,0,0,0,3294000,968700,2233200,460500,0,8715960
富仕德,0,0,0,456000,456000,454504,0,0,342000,0,1708504
德方集团,780000,0,780000,0,0,0,0,0,0,0,1560000
龙腾财富,390000,0,0,0,171000,0,546000,0,0,0,1107000
利泰丰,98311,0,482577,0,298763,0,0,0,0,0,879651
太富,798000,0,0,0,0,0,0,0,0,0,798000
裕承资产,0,0,0,156000,0,0,570000,39000,0,0,765000
巨蚁环球,0,0,0,0,0,390000,0,312000,0,0,702000
动力势能,0,0,0,0,0,570000,0,0,0,0,570000
钜诚保险,0,0,0,156000,0,0,0,0,0,0,156000
共享经纪,0,0,0,0,128294,0,0,23106,0,0,151400
众安国际,117000,0,0,0,0,0,0,0,0,0,117000
合计,16332670,22678269,42361031,36575956,41578160,56078896,67109781,42602323,6900045,0,332217131

M-件数. 月度签单业绩—同行 (件数),,,,,,,,,,,
📌 同M-APE；行顺序跟随APE子表,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天誉国际(MGA),0,3,10,19,27,38,94,53,7,0,251
天誉国际,0,2,24,14,31,26,29,32,3,0,161
唯思,11,11,13,24,15,19,17,13,3,0,126
紫荆保险,13,15,21,7,13,10,6,6,1,0,92
万森保险,6,8,18,10,11,13,9,3,4,0,82
企鹅保险,7,16,18,2,2,11,7,5,0,0,68
堡盛国际,11,5,13,1,6,11,4,0,0,0,51
中天家办,0,2,4,2,6,10,11,7,3,0,45
万城保险,0,0,1,6,5,3,2,7,1,0,25
臻略财富,2,5,0,0,0,8,5,11,3,0,34
富仕德,0,0,0,1,1,4,0,0,1,0,7
德方集团,1,0,1,0,0,0,0,0,0,0,2
龙腾财富,1,0,0,0,1,0,3,0,0,0,5
利泰丰,2,0,2,0,6,0,0,0,0,0,10
太富,1,0,0,0,0,0,0,0,0,0,1
裕承资产,0,0,0,1,0,0,1,1,0,0,3
巨蚁环球,0,0,0,0,0,1,0,1,0,0,2
动力势能,0,0,0,0,0,1,0,0,0,0,1
钜诚保险,0,0,0,1,0,0,0,0,0,0,1
共享经纪,0,0,0,0,2,0,0,1,0,0,3
众安国际,1,0,0,0,0,0,0,0,0,0,1
合计,56,67,125,88,126,155,188,140,26,0,971

N-APE. 月度批核业绩—同行 (APE),,,,,,,,,,,
📌 issue_ym；仅生效；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天誉国际(MGA),0,0,1497990,2229396,4029728,8332380,17842731,23633752,5027100,0,62593077
天誉国际,0,0,1969200,7538030,16951690,11788260,6801899,8658240,3030000,0,56737319
